Ticker,Date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Expenses,Operating Income,Interest Expense,Earning before Tax,Income Tax Expense,Income Tax Expense,Net Income,EPS,EPS Diluted,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margins,Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,Earnings Before Tax Margin,Net Profit Margin
LB,2019-02-02,13237000000.0,0.0479,8338000000.0,4899000000.0,0.0,3563000000.0,3662000000.0,1237000000.0,385000000.0,857000000.0,213000000.0,213000000.0,644000000.0,2.33,2.31,2.4,0.3701,0.138,0.0938,0.049,0.0565,1832000000.0,1242000000.0,0.0647,0.0487
LB,2018-02-03,12632000000.0,0.0046,7673000000.0,4959000000.0,0.0,3231000000.0,3231000000.0,1728000000.0,406000000.0,1312000000.0,329000000.0,329000000.0,983000000.0,3.46,3.42,3.0,0.3926,0.181,0.136,0.078,0.0553,2289000000.0,1718000000.0,0.1039,0.0778
LB,2017-01-28,12574000000.0,0.0346,7449000000.0,5125000000.0,0.0,3122000000.0,3122000000.0,2003000000.0,394000000.0,1696000000.0,538000000.0,538000000.0,1158000000.0,4.04,3.98,4.4,0.4076,0.207,0.1662,0.092,0.0795,2608000000.0,2090000000.0,0.1349,0.0921
LB,2016-01-30,12154000000.0,0.0611,6950000000.0,5204000000.0,0.0,3012000000.0,3012000000.0,2192000000.0,334000000.0,1934000000.0,681000000.0,681000000.0,1253000000.0,4.3,4.22,2.0,0.4282,0.224,0.1866,0.103,0.107,2725000000.0,2268000000.0,0.1591,0.1031
LB,2015-01-31,11454000000.0,0.0632,6646000000.0,4808000000.0,0.0,2855000000.0,2855000000.0,1953000000.0,324000000.0,1636000000.0,594000000.0,594000000.0,1042000000.0,3.57,3.5,2.36,0.4198,0.209,0.1711,0.091,0.0935,2398000000.0,1960000000.0,0.1428,0.091
LB,2014-02-01,10773000000.0,0.03,6344000000.0,4429000000.0,0.0,2686000000.0,2686000000.0,1743000000.0,314000000.0,1446000000.0,543000000.0,543000000.0,903000000.0,3.12,3.05,1.5,0.4111,0.201,0.1634,0.084,0.0517,2167000000.0,1760000000.0,0.1342,0.0838
LB,2013-02-02,10459000000.0,0.0092,6073000000.0,4386000000.0,0.0,2720000000.0,2813000000.0,1573000000.0,316000000.0,1281000000.0,528000000.0,528000000.0,753000000.0,2.6,2.54,5.0,0.4194,0.19,0.1527,0.072,0.073,1986000000.0,1597000000.0,0.1225,0.072
LB,2012-01-28,10364000000.0,0.0781,6307000000.0,4057000000.0,0.0,2698000000.0,2930000000.0,1127000000.0,246000000.0,1227000000.0,377000000.0,377000000.0,850000000.0,2.8,2.7,3.8,0.3915,0.18,0.1421,0.082,0.081,1864000000.0,1473000000.0,0.1184,0.082
LB,2011-01-29,9613000000.0,0.1136,5982000000.0,3631000000.0,0.0,2341000000.0,2347000000.0,1284000000.0,208000000.0,1251000000.0,446000000.0,446000000.0,805000000.0,2.49,2.42,4.6,0.3777,0.193,0.1518,0.084,0.1051,1853000000.0,1459000000.0,0.1301,0.0837
LB,2010-01-30,8632000000.0,-0.0454,5604000000.0,3028000000.0,0.0,2166000000.0,2169000000.0,859000000.0,237000000.0,650000000.0,202000000.0,202000000.0,448000000.0,1.39,1.37,0.6,0.3508,0.148,0.1028,0.052,0.1126,1280000000.0,887000000.0,0.0753,0.0519
